,Date,Close,High,Low,Open,Volume,MA50,MA200
894,2011-08-16,390.21,392.11,383.17,387.56,2983568,450.0358,448.1969
895,2011-08-17,400.75,404.55,388.76,390.57,4557892,448.68660000000006,448.11800000000005
896,2011-08-18,385.7,404.51,383.95,403.15,3619896,446.95560000000006,447.96385000000004
897,2011-08-19,372.31,379.53,362.71,377.94,5443614,444.91720000000004,447.73775
898,2011-08-22,367.94,372.73,361.51,372.33,3528922,442.7686,447.49765
899,2011-08-23,393.41,395.98,368.86,369.07,4874670,441.24060000000003,447.37825000000004
900,2011-08-24,385.8,391.97,382.75,391.97,3194790,439.43440000000004,447.18839999999994
901,2011-08-25,380.91,389.97,375.94,388.64,4445488,437.58480000000003,446.97610000000003
902,2011-08-26,380.13,388.56,376.74,381.19,3584910,435.98420000000004,446.7144
903,2011-08-29,408.64,410.41,386.4,386.4,5590444,435.28920000000005,446.5929
904,2011-08-30,417.78,420.95,410.47,412.81,5966682,435.096,446.57169999999996
905,2011-09-02,409.64,430.75,405.6,430.05,4413506,434.44059999999996,446.5273
906,2011-09-05,411.89,414.09,400.17,407.12,3789658,434.01599999999996,446.47415
907,2011-09-06,414.37,417.62,402.79,408.0,4763292,433.5332,446.46729999999997
